artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.jneumeth.2008.10.037	Automatic contour extraction from 2D neuron images	Journal of Neuroscience Methods	LEANDRO, J ; CESARJR, R ; COSTA, L		
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.jvcir.2009.01.002	Generating segmented meshes from textured color images	Journal of Visual Communication and Image Representation	LIZIER, M. A. ; MARTINS JR, D C ; CUADROS-VARGAS, A. J. ; CESAR JUNIOR, R. M. ; NONATO, L. G.		
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s00371-009-0373-x	3D Face Computational Photography Using PCA Spaces	The Visual Computer	Mena-Chalco, Jesús P. ; Macêdo, Ives ; Velho, Luiz ; Cesar, Roberto M.		
artigoEmPeriodico	2009	http://dx.doi.org/10.1590/S0104-65002009000400004	scriptLattes: an open-source knowledge extraction system from the Lattes platform	Journal of the Brazilian Computer Society (Impresso)	MENA-CHALCO, JESÚS PASCUAL ; JUNIOR, ROBERTO MARCONDES CESAR		
artigoEmPeriodico	2009	http://dx.doi.org/10.1590/S0100-879X2009000700008	A Novel Polar-based Human Face Recognition Computational Model	Brazilian Journal of Medical and Biological Research (Impresso)	ZANA, Y. ; MENA-CHALCO, J. P. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2010		Image Segmentation Using Component Tree and Normalized Cut	SIBGRAPI	CARVALHO, M. A. ; COSTA, A. ; FERREIRA, A. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2010		Detección de huevos helmintos mediante plantillas dinámicas	XXXVIth Latin American Informatics Conference (XXXVI CLEI)	CHUCTAYA, J. ; MENA-CHALCO, J. P. ; BELTRÁN-CASTAÑÓN, C. ; PATIÑO, R. ; HUMPIRE, G. ; RODRIGUEZ, A.		
trabalhoCompletoEmCongresso	2010		A column generation approach for the graph matching problem	International Conference on Pattern Recognition - ICPR	FREIRE, A. ; CESAR JUNIOR, R. M. ; FERREIRA, C. E.		
trabalhoCompletoEmCongresso	2010		SFFS-MR: a floating search strategy for GRNs inference	5th IAPR International Conference on Pattern Recognition in Bioinformatics	LOPES, Fabrício Martins ; MARTINS, C. I. O. ; Martins, David C. ; BARRERA, J ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2010	http://dx.doi.org/10.1109/SIBGRAPI.2010.44	3D Linear Facial Animation Based on Real Data	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010	MATTOS, A. B. ; Mena-Chalco, Jesús P. ; CESAR JUNIOR, R. M. ; VELHO, L		
trabalhoCompletoEmCongresso	2010		Sparse Representations for Efficient Shape Matching	SIBGRAPI	NOMA, A. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2010	http://dx.doi.org/10.1109/SCCC.2010.31	A new approach to detect communities in multi-weighted co-authorship networks	XXIX International Conference of the Chilean Computer Science Society	PEREZ, E. ; MENA-CHALCO, J. P.		
trabalhoCompletoEmCongresso	2009		Object Detection by Keygraph Classification	7th IAPR-TC-15 Workshop on Graph-based Representations in Pattern Recognition	HASHIMOTO, M. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2009		Comparative study of GRN's inference methods based on feature selection by mutual information	IEEE International Workshop on Genomic Signal Processing and Statistics - GENSIPS	LOPES, Fabrício Martins ; MARTINS JR, D C ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2009		Analysis of the GRNs inference by using Tsallis entropy and a feature selection approach	14th Iberoamerican Congress on Pattern Recognition (CIARP 2009)	LOPES, Fabrício Martins ; Oliveira, E. A. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2009		Revealing temporal genetic regulatory networks from steady-state distributions	IEEE International Workshop on Genomic Signal Processing and Statistics - GENSIPS	MARTINS JR, D C ; Oliveira, E. A. ; SILVA, P J S ; HASHIMOTO, R. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2009		Evaluation of retinal vessel segmentation methods for microaneurysms detection	International Conference on Image Processing	MARTINS, C. I. O. ; MEDEIROS, F. N. S. ; VERAS, R. M. S. ; BEZERRA, F. N. ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2009		A Computer-Assisted Colorization Approach based on Eﬃcient Belief Propagation and Graph Matching	14th Iberoamerican Congress on Pattern Recognition (CIARP 2009)	NOMA, A. ; VELHO, L ; CESAR JUNIOR, R. M.		
trabalhoCompletoEmCongresso	2009		Estimación de distancias absolutas utilizando un puntero láser y una cámara web	III Simposio Peruano de Computación Gráfica y Procesamiento de Imágenes	PORTUGAL ZAMBRANO, C. ; MENA-CHALCO, J. P.		
resumoExpandidoEmCongresso	2010	Preliminary results on 3D facial expression analysis using 2D and 3D wavelet transforms	23rd Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010, 2010, Gramado. 23rd Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010, Conference Proceedings	PINTO, S. C. D. ; MENA-CHALCO, J. P. ; LOPES, F. M. ; CESAR JUNIOR, R. M.		
resumoExpandidoEmCongresso	2009	3D facial animation based on structural registration	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2009, 2009, Rio de Janeiro. Brazilian Symposium on Computer Graphics and Image Processing, Conference Proceedings, 2009	MATTOS, A. B. ; CESAR JUNIOR, R. M.		
